SiteName,MonitorDate,Concentration,ItemUnit
南投,2018-04-26,35,μg/m3
彰化,2018-04-26,27,μg/m3
忠明,2018-04-26,26,μg/m3
豐原,2018-04-26,26,μg/m3
三義,2018-04-26,24,μg/m3
苗栗,2018-04-26,23,μg/m3
新竹,2018-04-26,26,μg/m3
竹東,2018-04-26,22,μg/m3
平鎮,2018-04-26,21,μg/m3
桃園,2018-04-26,20,μg/m3
萬華,2018-04-26,17,μg/m3
士林,2018-04-26,17,μg/m3
板橋,2018-04-26,18,μg/m3
汐止,2018-04-26,18,μg/m3
基隆,2018-04-26,15,μg/m3
馬公,2018-04-23,13,μg/m3
金門,2018-04-23,23,μg/m3
馬祖,2018-04-23,18,μg/m3
宜蘭,2018-04-23,11,μg/m3
陽明,2018-04-23,13,μg/m3
花蓮,2018-04-23,6,μg/m3
臺東,2018-04-23,5,μg/m3
恆春,2018-04-23,6,μg/m3
屏東,2018-04-23,17,μg/m3
前金,2018-04-23,13,μg/m3
美濃,2018-04-23,21,μg/m3
臺南,2018-04-23,17,μg/m3
新營,2018-04-23,16,μg/m3
嘉義,2018-04-23,19,μg/m3
朴子,2018-04-23,27,μg/m3
斗六,2018-04-23,20,μg/m3
南投,2018-04-23,19,μg/m3
彰化,2018-04-23,18,μg/m3
忠明,2018-04-23,18,μg/m3
豐原,2018-04-23,19,μg/m3
三義,2018-04-23,17,μg/m3
苗栗,2018-04-23,17,μg/m3
新竹,2018-04-23,21,μg/m3
竹東,2018-04-23,21,μg/m3
平鎮,2018-04-23,21,μg/m3
桃園,2018-04-23,24,μg/m3
萬華,2018-04-23,15,μg/m3
士林,2018-04-23,14,μg/m3
板橋,2018-04-23,21,μg/m3
汐止,2018-04-23,12,μg/m3
基隆,2018-04-23,9,μg/m3
馬公,2018-04-20,20,μg/m3
金門,2018-04-20,,μg/m3
馬祖,2018-04-20,21,μg/m3
宜蘭,2018-04-20,17,μg/m3
陽明,2018-04-20,14,μg/m3
花蓮,2018-04-20,15,μg/m3
臺東,2018-04-20,12,μg/m3
恆春,2018-04-20,13,μg/m3
屏東,2018-04-20,22,μg/m3
前金,2018-04-20,20,μg/m3
美濃,2018-04-20,23,μg/m3
臺南,2018-04-20,22,μg/m3
新營,2018-04-20,29,μg/m3
嘉義,2018-04-20,28,μg/m3
朴子,2018-04-20,32,μg/m3
斗六,2018-04-20,36,μg/m3
南投,2018-04-20,43,μg/m3
彰化,2018-04-20,39,μg/m3
忠明,2018-04-20,40,μg/m3
豐原,2018-04-20,46,μg/m3
三義,2018-04-20,43,μg/m3
苗栗,2018-04-20,43,μg/m3
新竹,2018-04-20,33,μg/m3
竹東,2018-04-20,34,μg/m3
平鎮,2018-04-20,19,μg/m3
桃園,2018-04-20,18,μg/m3
萬華,2018-04-20,16,μg/m3
士林,2018-04-20,15,μg/m3
板橋,2018-04-20,16,μg/m3
汐止,2018-04-20,17,μg/m3
基隆,2018-04-20,16,μg/m3
馬公,2018-04-17,15,μg/m3
金門,2018-04-17,30,μg/m3
馬祖,2018-04-17,26,μg/m3
宜蘭,2018-04-17,11,μg/m3
陽明,2018-04-17,8,μg/m3
花蓮,2018-04-17,11,μg/m3
臺東,2018-04-17,5,μg/m3
恆春,2018-04-17,4,μg/m3
屏東,2018-04-17,23,μg/m3
前金,2018-04-17,25,μg/m3
美濃,2018-04-17,23,μg/m3
臺南,2018-04-17,20,μg/m3
新營,2018-04-17,26,μg/m3
嘉義,2018-04-17,27,μg/m3
朴子,2018-04-17,22,μg/m3
斗六,2018-04-17,24,μg/m3
南投,2018-04-17,19,μg/m3
彰化,2018-04-17,15,μg/m3
忠明,2018-04-17,13,μg/m3
豐原,2018-04-17,10,μg/m3
三義,2018-04-17,11,μg/m3
苗栗,2018-04-17,16,μg/m3
新竹,2018-04-17,16,μg/m3
竹東,2018-04-17,13,μg/m3
平鎮,2018-04-17,18,μg/m3
桃園,2018-04-17,17,μg/m3
萬華,2018-04-17,17,μg/m3
士林,2018-04-17,14,μg/m3
板橋,2018-04-17,17,μg/m3
汐止,2018-04-17,18,μg/m3
基隆,2018-04-17,15,μg/m3
馬公,2018-04-14,10,μg/m3
金門,2018-04-14,18,μg/m3
馬祖,2018-04-14,23,μg/m3
宜蘭,2018-04-14,10,μg/m3
陽明,2018-04-14,14,μg/m3
花蓮,2018-04-14,7,μg/m3
臺東,2018-04-14,8,μg/m3
恆春,2018-04-14,6,μg/m3
屏東,2018-04-14,10,μg/m3
前金,2018-04-14,10,μg/m3
美濃,2018-04-14,10,μg/m3
臺南,2018-04-14,10,μg/m3
新營,2018-04-14,10,μg/m3
嘉義,2018-04-14,10,μg/m3
朴子,2018-04-14,9,μg/m3
斗六,2018-04-14,13,μg/m3
南投,2018-04-14,15,μg/m3
彰化,2018-04-14,13,μg/m3
忠明,2018-04-14,14,μg/m3
豐原,2018-04-14,15,μg/m3
三義,2018-04-14,13,μg/m3
苗栗,2018-04-14,13,μg/m3
新竹,2018-04-14,16,μg/m3
竹東,2018-04-14,19,μg/m3
平鎮,2018-04-14,16,μg/m3
桃園,2018-04-14,25,μg/m3
萬華,2018-04-14,19,μg/m3
士林,2018-04-14,17,μg/m3
板橋,2018-04-14,23,μg/m3
